branch	uncorrected_p	corrected_p	rate_classes	rate_distribution(omega:prop)	positive_selection
Node16	1.626e-14	1.317e-12	2	0.881:0.92;50.184:0.08	YES
Laticauda_colubrina_C9B	1.875e-08	1.5e-06	2	0.489:0.97;44.939:0.03	YES
Hemorrhois_hippocrepis_C9B	1.745e-05	0.001378	2	0.521:0.98;132.090:0.02	YES
Naja_naja_C9A	4.173e-05	0.003255	2	1.000:0.96;37.631:0.04	YES
Node13	9.378e-05	0.007221	2	0.000:0.93;24.275:0.07	YES
Bungarus_multicinctus_C9A	0.0009336	0.07096	2	0.000:0.69;8.259:0.31	no
Chrysopelea_ornata_C9A	0.00153	0.1147	2	0.447:0.98;137.962:0.02	no
Node72	0.005151	0.3811	2	0.000:0.95;25.442:0.05	no
Node58	0.006828	0.4985	2	0.313:0.99;461.083:0.01	no
Node17	0.007202	0.5185	2	0.000:0.88;8.538:0.12	no
Thamnophis_elegans_C9B	0.009617	0.6828	2	0.358:0.71;3.386:0.29	no
Arizona_elegans_C9A	1	1	1	0.563:1.00	no
Arizona_elegans_C9B	1	1	1	0.351:1.00	no
Bothrops_jararaca_C9A	1	1	1	0.827:1.00	no
Bothrops_jararaca_C9B	1	1	1	1.000:1.00	no
Bungarus_multicinctus_C9B	1	1	1	0.325:1.00	no
Crotalus_adamanteus_C9A	1	1	1	0.000:1.00	no
Crotalus_adamanteus_C9B	1	1	1	0.397:1.00	no
Crotalus_tigris_C9A	1	1	1	1.000:1.00	no
Crotalus_tigris_C9B	0.1197	1	2	0.000:0.96;8.049:0.04	no
Hemorrhois_hippocrepis_C9A	1	1	1	0.699:1.00	no
Hydrophis_cyanocinctus_C9A	0.161	1	1	10000000000.000:1.00	no
Hydrophis_cyanocinctus_C9B	1	1	1	0.000:1.00	no
Hydrophis_major_C9A	1	1	1	0.000:1.00	no
Hydrophis_major_C9B	1	1	1	0.367:1.00	no
Laticauda_colubrina_C9A	1	1	1	0.440:1.00	no
Malpolon_monspessulanus_C9A	0.1442	1	2	0.000:0.83;2.484:0.17	no
Malpolon_monspessulanus_C9B	0.05224	1	2	0.397:0.99;25.186:0.01	no
Masticophis_lateralis_C9A	1	1	1	0.765:1.00	no
Masticophis_lateralis_C9B	1	1	1	0.316:1.00	no
Naja_naja_C9B	1	1	1	0.630:1.00	no
Node14	1	1	1	0.119:1.00	no
Node15	0.4597	1	1	1.116:1.00	no
Node18	0.03814	1	1	10000000000.000:1.00	no
Node2	0.1206	1	1	3.053:1.00	no
Node20	0.06693	1	2	0.000:0.90;6.270:0.10	no
Node23	1	1	1	0.336:1.00	no
Node24	1	1	1	0.477:1.00	no
Node25	0.2346	1	1	10000000000.000:1.00	no
Node26	1	1	1	0.331:1.00	no
Node28	0.07362	1	1	10000000000.000:1.00	no
Node3	0.02415	1	2	0.201:0.97;125.643:0.03	no
Node30	0.1297	1	1	10000000000.000:1.00	no
Node32	1	1	1	0.403:1.00	no
Node38	0.02824	1	2	0.000:0.89;6.570:0.11	no
Node39	0.01919	1	2	0.000:0.97;16.226:0.03	no
Node42	1	1	1	0.373:1.00	no
Node45	0.0749	1	2	0.000:0.90;4.788:0.10	no
Node46	1	1	1	0.922:1.00	no
Node47	0.5	1	1	1.110:1.00	no
Node49	0.04387	1	2	0.150:0.98;34.607:0.02	no
Node5	0.01674	1	2	0.885:1.00;1703.655:0.00	no
Node51	1	1	1	0.181:1.00	no
Node55	1	1	1	0.664:1.00	no
Node59	0.3294	1	1	2.168:1.00	no
Node6	1	1	1	0.824:1.00	no
Node60	0.2043	1	1	2.508:1.00	no
Node61	0.06719	1	1	10000000000.000:1.00	no
Node62	0.05625	1	2	0.057:0.93;9.274:0.07	no
Node64	0.4175	1	1	1.625:1.00	no
Node67	0.3757	1	1	1.783:1.00	no
Node69	0.4098	1	1	1.515:1.00	no
Node7	1	1	1	0.824:1.00	no
Node74	1	1	1	0.452:1.00	no
Node75	1	1	1	0.206:1.00	no
Notechis_scutatus_C9A	1	1	1	0.501:1.00	no
Notechis_scutatus_C9B	1	1	1	0.046:1.00	no
Pantherophis_obsoletus_C9A	1	1	1	0.431:1.00	no
Pantherophis_obsoletus_C9B	0.4092	1	1	1.283:1.00	no
Pituophis_catenifer_C9A	1	1	1	0.618:1.00	no
Pituophis_catenifer_C9B	1	1	1	0.277:1.00	no
Protobothrops_mucrosquamatus_C9A	1	1	1	0.819:1.00	no
Pseudonaja_textilis_C9A	1	1	1	0.800:1.00	no
Pseudonaja_textilis_C9B	1	1	1	0.164:1.00	no
Ptyas_mucosa_C9A	0.02086	1	2	0.790:1.00;1368.566:0.00	no
Ptyas_mucosa_C9B	1	1	1	0.445:1.00	no
Thamnophis_elegans_C9A	0.02923	1	2	0.000:0.64;2.508:0.36	no
Vipera_berus_C9A	1	1	1	0.428:1.00	no
Vipera_berus_C9B	1	1	1	0.000:1.00	no
Vipera_seoanei_C9A	1	1	1	0.567:1.00	no
Vipera_seoanei_C9B	0.4307	1	1	1.518:1.00	no
